Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,0.004500,0.004900,0.004500,0.004600,0.004600,9820669
2020-09-21,0.004500,0.004800,0.004500,0.004500,0.004500,8573320
2020-09-22,0.004800,0.006600,0.004700,0.004700,0.004700,60585059
2020-09-23,0.005200,0.005200,0.004400,0.004450,0.004450,26125830
2020-09-24,0.004400,0.004800,0.004200,0.004400,0.004400,21905346
2020-09-25,0.004350,0.004500,0.004050,0.004250,0.004250,8427505
2020-09-28,0.004200,0.004400,0.003700,0.004200,0.004200,14479506
2020-09-29,0.004400,0.004800,0.003900,0.004100,0.004100,23326665
2020-09-30,0.004800,0.004800,0.003800,0.004200,0.004200,17681295
2020-10-01,0.004350,0.004400,0.003800,0.004100,0.004100,15827901
2020-10-02,0.004200,0.004200,0.003950,0.004000,0.004000,8274529
2020-10-05,0.004300,0.004300,0.003700,0.004100,0.004100,10557280
2020-10-06,0.004000,0.004200,0.003700,0.003950,0.003950,9453276
2020-10-07,0.003900,0.004200,0.003800,0.004000,0.004000,6043372
2020-10-08,0.004300,0.004300,0.003800,0.003950,0.003950,6126615
2020-10-09,0.003900,0.004150,0.003800,0.004100,0.004100,8318872
2020-10-12,0.003900,0.004200,0.003900,0.004000,0.004000,8261313
2020-10-13,0.004000,0.004200,0.003800,0.003900,0.003900,24319628
2020-10-14,0.003900,0.004400,0.003800,0.003890,0.003890,24200893
2020-10-15,0.004150,0.004150,0.003550,0.003800,0.003800,17763257
2020-10-16,0.003900,0.003900,0.003600,0.003800,0.003800,5586791
2020-10-19,0.003850,0.003900,0.003500,0.003600,0.003600,8824159
2020-10-20,0.003800,0.004200,0.003300,0.003400,0.003400,25192047
2020-10-21,0.003400,0.003500,0.003200,0.003200,0.003200,10693473
2020-10-22,0.003300,0.004100,0.003200,0.003500,0.003500,41955704
2020-10-23,0.003500,0.003900,0.003200,0.003300,0.003300,19625010
2020-10-26,0.003400,0.003400,0.003000,0.003200,0.003200,32383532
2020-10-27,0.003200,0.003300,0.003000,0.003300,0.003300,10329295
2020-10-28,0.003200,0.003400,0.003000,0.003100,0.003100,9769991
2020-10-29,0.003100,0.003500,0.003000,0.003100,0.003100,4634802
2020-10-30,0.003400,0.003500,0.003000,0.003000,0.003000,5971505
2020-11-02,0.003300,0.003400,0.003000,0.003000,0.003000,8546250
2020-11-03,0.003100,0.003200,0.003000,0.003050,0.003050,4142569
2020-11-04,0.003300,0.003400,0.002800,0.003000,0.003000,10722625
2020-11-05,0.003300,0.003300,0.002600,0.002800,0.002800,24711078
2020-11-06,0.002900,0.003000,0.002800,0.002950,0.002950,4380702
2020-11-09,0.003000,0.003400,0.002600,0.002950,0.002950,6677634
2020-11-10,0.003300,0.003300,0.002800,0.002900,0.002900,3845763
2020-11-11,0.003100,0.003100,0.002800,0.002900,0.002900,10391615
2020-11-12,0.003000,0.003300,0.002800,0.002900,0.002900,8313964
2020-11-13,0.002800,0.003000,0.002700,0.003000,0.003000,5464378
2020-11-16,0.003000,0.003200,0.002800,0.003000,0.003000,9936595
2020-11-17,0.003100,0.003200,0.002800,0.002800,0.002800,6873608
2020-11-18,0.002800,0.003100,0.002800,0.002900,0.002900,5498059
2020-11-19,0.003100,0.003100,0.002900,0.003100,0.003100,5931343
2020-11-20,0.003100,0.003100,0.002900,0.003100,0.003100,10650180
2020-11-23,0.003100,0.003200,0.002900,0.003100,0.003100,9764531
2020-11-24,0.002900,0.003200,0.002900,0.003050,0.003050,8531273
2020-11-25,0.003050,0.004500,0.002900,0.004400,0.004400,56535022
2020-11-27,0.004500,0.004640,0.003550,0.004600,0.004600,40687420
2020-11-30,0.004200,0.005000,0.003700,0.004100,0.004100,37751775
2020-12-01,0.004800,0.004800,0.003700,0.004000,0.004000,27630759
2020-12-02,0.004000,0.004800,0.003800,0.004000,0.004000,16746785
2020-12-03,0.004000,0.004400,0.003700,0.003800,0.003800,14519331
2020-12-04,0.003950,0.004100,0.003000,0.003400,0.003400,22129394
2020-12-07,0.003650,0.003850,0.003400,0.003600,0.003600,16217921
